,대덕구,동구,서구,유성구,중구
2022-10-18,10,8,7,8,11
2022-10-19,15,12,10,11,14
2022-10-20,27,19,19,20,23
2022-10-21,28,23,23,23,27
2022-10-22,24,18,17,17,20
2022-10-23,19,21,16,19,23
2022-10-24,12,11,10,11,14
2022-10-25,12,9,9,11,12
2022-10-26,10,7,8,8,10
2022-10-27,25,20,18,18,23
2022-10-28,30,26,26,25,29
2022-10-29,18,16,19,17,22
2022-10-30,15,13,15,15,17
2022-10-31,9,8,10,9,11
2022-12-01,8,8,7,9,9
2022-12-02,17,11,14,14,15
2022-12-03,23,20,20,20,23
2022-12-04,8,10,8,10,12
2022-12-05,12,11,8,10,11
2022-12-06,21,15,14,15,17
2022-12-07,27,24,22,23,25
2022-12-08,27,22,24,22,26
2022-12-09,40,30,31,31,34
2022-12-10,47,47,43,45,52
2022-12-11,31,28,29,28,32
2022-12-12,25,19,20,20,22
2022-12-13,30,26,25,32,28
2022-12-14,12,13,13,15,15
2022-12-15,20,15,16,16,18
2022-12-16,20,19,17,19,21
2022-12-17,18,16,17,17,20
2022-12-18,16,13,14,14,16
2022-12-19,20,16,16,17,21
2022-12-20,32,23,28,27,29
2022-12-21,29,24,26,24,29
2022-12-22,14,14,13,15,16
2022-12-23,12,12,9,11,12
2022-12-24,19,18,16,20,20
2022-12-25,26,25,22,27,27
2022-12-26,26,22,23,25,26
2022-12-27,36,28,29,32,33
2022-12-28,29,26,25,28,28
2022-12-29,25,20,19,21,21
2022-12-30,26,23,23,27,25
2022-12-31,26,22,20,24,22
2022-11-01,36,32,30,29,36
2022-11-02,26,30,22,24,31
2022-11-03,20,19,17,18,21
2022-11-04,9,9,7,8,10
2022-11-05,14,11,11,11,15
2022-11-06,22,16,18,18,21
2022-11-07,31,21,25,23,27
2022-11-08,31,22,26,25,28
2022-11-09,49,36,39,39,42
2022-11-10,57,52,47,48,54
2022-11-11,49,42,45,43,45
2022-11-12,33,29,30,29,29
2022-11-13,13,13,12,13,17
2022-11-14,24,21,19,22,24
2022-11-15,16,14,12,15,17
2022-11-16,20,20,18,19,24
2022-11-17,24,18,22,21,23
2022-11-18,31,23,26,26,27
2022-11-19,25,20,22,21,23
2022-11-20,21,19,21,18,23
2022-11-21,30,22,24,23,26
2022-11-22,52,37,45,45,40
2022-11-23,35,33,30,35,33
2022-11-24,27,22,24,22,28
2022-11-25,28,23,25,25,27
2022-11-26,19,19,17,18,20
2022-11-27,15,12,14,13,15
2022-11-28,26,23,23,20,20
2022-11-29,10,11,9,10,11
2022-11-30,6,8,7,8,10
