연번,"스테이션, 성명(Station)",위치,Latitude,Longitude,광역시도코드,광역시도명,시군구코드,시군구명,법정동코드,법정동명,행정동코드,행정동명
188,구봉초등학교(건너편),대전광역시 서구 관저동 1147,36.2986627,127.3296924,30,대전광역시,30170,서구,3017011600,관저동,3017059700,관저2동
189,샘물타운아파트(301동),대전광역시 유성구 원내동 349,36.2989961,127.3201322,30,대전광역시,30200,유성구,3020010100,원내동,3020052000,진잠동
190,교촌제이파크(101동),대전광역시 유성구 교촌동 617,36.3045544,127.319007,30,대전광역시,30200,유성구,3020010200,교촌동,3020052000,진잠동
191,신흥마을아파트(102동),대전광역시 동구 신흥동 212,36.3203148,127.4450073,30,대전광역시,30110,동구,3011010600,신흥동,3011054500,신인동
192,보문산오거리,대전광역시 중구 대사동 118-9,36.3176709,127.4255478,30,대전광역시,30140,중구,3014011000,대사동,3014063000,대사동
193,석교동주민센터,대전광역시 중구 석교동 12-7,36.3099202,127.4420116,30,대전광역시,30140,중구,3014010700,석교동,3014062000,석교동
194,호동우체국(건너편),대전광역시 중구 호동 10-14,36.3050203,127.4488858,30,대전광역시,30140,중구,3014010800,호동,3014062000,석교동
195,한밭도서관,대전광역시 중구 문화동 141,36.3114966,127.4093213,30,대전광역시,30140,중구,3014011600,문화동,3014072000,문화1동
196,대덕문화원,대전광역시 대덕구 읍내동 324-5,36.3741118,127.4206213,30,대전광역시,30230,대덕구,3023010300,읍내동,3023052500,회덕동
197,농도원네거리,대전광역시 서구 도마동 65-56,36.3203228,127.3775082,30,대전광역시,30170,서구,3017010300,도마동,3017052000,도마1동
198,도마네거리,대전광역시 서구 도마동 172-13,36.3139367,127.3793294,30,대전광역시,30170,서구,3017010300,도마동,3017053000,도마2동
199,노은1동주민센터,대전광역시 유성구 노은동 546,36.3682671,127.3184503,30,대전광역시,30200,유성구,3020011900,노은동,3020054600,노은1동
200,지족역 2번출구(건너편),대전광역시 유성구 지족동 840-2,36.3831357,127.3190997,30,대전광역시,30200,유성구,3020012000,지족동,3020054700,노은2동
201,노은3동주민센터,대전광역시 유성구 지족동 1024-2,36.3867983,127.3079845,30,대전광역시,30200,유성구,3020012000,지족동,3020054800,노은3동
202,도안초등학교,대전광역시 서구 도안동 1364,36.3196493,127.3458957,30,대전광역시,30170,서구,3017011500,도안동,3017059000,가수원동
203,죽동 금성백조,대전광역시 유성구 죽동 108-4,36.3769377,127.3332279,30,대전광역시,30200,유성구,3020012100,죽동,3020054000,온천2동
204,낭월 오투그란데(108동 맞은편),대전광역시 동구 낭월동 215-2,36.2851646,127.4658139,30,대전광역시,30110,동구,3011013600,낭월동,3011074000,산내동
